GIFTPAL 5-Year Financial Model

P&L Statement (Naira Millions),,,,,,
Year,1,2,3,4,5,
Revenue Breakdown,,,,,,
Commission Revenue,480,2400,6000,12000,20000,
Subscription Revenue,120,600,1500,3000,5000,
Advertising Revenue,120,600,1500,3000,5000,
Value-Added Services,60,300,750,1500,2500,
Total Revenue,780,3900,9750,19500,32500,
,,,,,,
Cost Structure,,,,,,
Cost of Goods Sold,78,390,975,1950,3250,
Sales & Marketing,390,1170,1950,2925,3900,
Technology,156,390,780,1170,1625,
Operations,117,390,780,1170,1625,
General & Administrative,78,195,390,585,975,
Total Costs,819,2535,4875,7800,11375,
,,,,,,
Profitability,,,,,,
Gross Profit,702,3510,8775,17550,29250,
Gross Margin %,90%,90%,90%,90%,90%,
EBITDA,-39,1365,4875,11700,21125,
EBITDA Margin %,-5%,35%,50%,60%,65%,
Net Income,-78,1170,4388,10725,19500,
Net Margin %,-10%,30%,45%,55%,60%,
,,,,,,
Cash Flow Statement,,,,,,
Operating Cash Flow,,,,,,
Net Income,-78,1170,4388,10725,19500,
Depreciation,20,40,60,80,100,
Working Capital Change,-50,-100,-150,-200,-250,
Operating Cash Flow,-108,1110,4298,10605,19350,
,,,,,,
Investment Cash Flow,,,,,,
Technology Investment,-300,-200,-300,-400,-500,
Equipment,-50,-30,-40,-50,-60,
Facilities,-100,-50,-75,-100,-125,
Investment Cash Flow,-450,-280,-415,-550,-685,
,,,,,,
Financing Cash Flow,,,,,,
Equity Raised,2500,0,0,0,0,
Debt,0,0,0,0,0,
Dividends,0,0,-500,-1000,-2000,
Financing Cash Flow,2500,0,-500,-1000,-2000,
,,,,,,
Net Cash Flow,1942,830,3383,9055,16665,
Cash Balance,1942,2772,6155,15210,31875,
,,,,,,
Unit Economics,,,,,,
Monthly Active Users,75000,300000,750000,1500000,3000000,
Annual Active Users,150000,600000,1500000,3000000,6000000,
Active Sellers,2500,10000,25000,50000,100000,
Total Orders,300000,1500000,4000000,8000000,15000000,
Average Order Value (Naira),25000,27000,30000,32000,35000,
Gross Merchandise Value (Millions),7500,40500,120000,256000,525000,
Take Rate %,8.0%,8.5%,9.0%,9.5%,10.0%,
,,,,,,
Customer Metrics,,,,,,
Customer Acquisition Cost,3500,3000,2500,2200,2000,
Customer Lifetime Value,28000,32000,38000,45000,52000,
LTV/CAC Ratio,8.0,10.7,15.2,20.5,26.0,
Payback Period (months),8,6,5,4,3,
Customer Retention Rate,65%,70%,75%,80%,85%,
,,,,,,
Seller Metrics,,,,,,
New Seller Acquisition,2500,7500,15000,25000,50000,
Seller Retention Rate,80%,85%,90%,92%,95%,
Avg Products per Seller,15,18,20,22,25,
Revenue per Seller (Thousands),312,390,390,390,325,
,,,,,,
Key Ratios,,,,,,
Revenue Growth Rate,N/A,400%,150%,100%,67%,
User Growth Rate,N/A,300%,150%,100%,100%,
Seller Growth Rate,N/A,300%,150%,100%,100%,
GMV Growth Rate,N/A,440%,196%,113%,105%,
Revenue per Employee (Millions),6.5,19.5,32.5,48.8,65.0,
Technology Cost/Revenue %,20%,10%,8%,6%,5%,
,,,,,,
Scenario Analysis,,,,,,
Revenue Scenarios (Millions),,,,,,
Conservative Case,624,3120,7800,15600,26000,
Base Case,780,3900,9750,19500,32500,
Optimistic Case,1014,5070,12675,25350,42250,
,,,,,,
Break-Even Analysis,,,,,,
Break-even Revenue (Monthly),65,65,65,65,65,
Break-even GMV (Monthly),812,765,722,684,650,
Break-even Orders (Monthly),32500,28333,24067,21375,18571,
Break-even Users (Monthly),250000,250000,250000,250000,250000,
,,,,,,
Funding Requirements,,,,,,
Total Funding Needed,2500,0,0,0,0,
Technology Development,750,0,0,0,0,
Marketing & Customer Acquisition,875,0,0,0,0,
Operations & Infrastructure,500,0,0,0,0,
Working Capital & Contingency,375,0,0,0,0,
,,,,,,
Valuation Metrics,,,,,,
Revenue Multiple,N/A,2.6x,1.0x,0.5x,0.3x,
EBITDA Multiple,N/A,7.3x,2.0x,0.9x,0.5x,
Price/Sales Ratio,12.8x,2.6x,1.0x,0.5x,0.3x,
Enterprise Value,10000,10000,10000,10000,10000,
,,,,,,
Market Metrics,,,,,,
Total Addressable Market (Billions),2500,2625,2756,2894,3039,
Serviceable Addressable Market (Billions),500,550,605,666,732,
Market Penetration %,0.3%,1.5%,3.9%,7.5%,14.3%,
Market Share of Online Gifts %,1.5%,7.4%,19.8%,38.4%,71.7%
